2017/11/14 11:19:46 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/14 19:23:21 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/14 21:11:32 ZEBRA: Terminating on signal
2017/11/14 21:11:32 ZEBRA: IRDP: Received shutdown notification.
2017/11/15 15:09:01 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/15 17:31:10 ZEBRA: Terminating on signal
2017/11/15 17:31:10 ZEBRA: IRDP: Received shutdown notification.
2017/11/15 17:43:57 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/15 19:11:54 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/15 19:49:07 ZEBRA: Terminating on signal
2017/11/15 19:49:07 ZEBRA: IRDP: Received shutdown notification.
2017/11/15 19:49:14 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/15 19:49:14 ZEBRA: client 16 says hello and bids fair to announce only ospf routes
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/15 19:49:14 ZEBRA: client 17 says hello and bids fair to announce only ospf6 routes
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:14 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:16 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/15 19:49:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/15 19:49:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/15 19:49:24 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
